Date,Admissions,BedOccupancy,ERVisits,ScheduledSurgeries,FluCases,DayOfWeek,IsHoliday,RequiredNurses
03/28/2023,47,328,265,41,48,2,0,192
03/29/2023,48,332,270,42,50,3,0,197
03/30/2023,46,330,260,39,48,4,0,187
03/31/2023,44,322,245,35,42,5,0,169
04/01/2023,40,315,220,28,32,6,0,142
04/02/2023,37,308,200,21,23,7,0,125
04/03/2023,42,320,225,29,28,1,0,152
04/04/2023,48,335,270,42,49,2,0,194
04/05/2023,49,340,275,43,51,3,0,199
04/06/2023,47,338,265,40,49,4,0,189
04/07/2023,45,330,250,36,44,5,0,171
04/08/2023,41,322,225,29,33,6,0,146
04/09/2023,38,315,205,22,24,7,0,128
04/10/2023,43,328,230,30,29,1,0,155
04/11/2023,49,342,275,44,50,2,0,197
04/12/2023,50,348,280,45,52,3,0,203
04/13/2023,48,345,270,42,50,4,0,192
04/14/2023,46,338,255,37,45,5,0,175
04/15/2023,42,330,230,30,35,6,0,149
04/16/2023,39,322,210,23,26,7,0,131
04/17/2023,44,335,235,31,30,1,0,158
04/18/2023,50,350,285,46,53,2,0,204
04/19/2023,51,355,290,47,55,3,0,209
04/20/2023,49,352,280,44,53,4,0,199
04/21/2023,47,345,265,40,48,5,0,181
04/22/2023,43,338,240,32,37,6,0,153
04/23/2023,40,330,220,24,28,7,0,135
04/24/2023,45,342,245,33,32,1,0,164
04/25/2023,51,358,295,48,56,2,0,212
04/26/2023,52,362,300,49,58,3,0,217
04/27/2023,50,360,290,46,56,4,0,207
04/28/2023,48,352,275,42,50,5,0,188
04/29/2023,44,345,250,34,39,6,0,159
04/30/2023,41,338,230,25,30,7,0,140
05/01/2023,46,350,255,35,33,1,1,169
05/02/2023,48,355,270,40,42,2,0,179
05/03/2023,47,360,275,42,45,3,0,185
05/04/2023,45,358,265,38,43,4,0,176
05/05/2023,43,352,250,34,38,5,0,162
05/06/2023,39,345,230,27,30,6,0,140
05/07/2023,36,338,215,20,23,7,0,124
05/08/2023,41,350,240,29,27,1,0,148
05/09/2023,47,365,280,43,46,2,0,186
05/10/2023,48,370,285,44,48,3,0,191
05/11/2023,46,368,275,41,46,4,0,181
05/12/2023,44,360,260,37,42,5,0,167
05/13/2023,40,352,235,30,33,6,0,144
05/14/2023,37,345,215,22,24,7,0,125
05/15/2023,42,358,245,31,28,1,0,152
05/16/2023,48,372,285,45,47,2,0,189
05/17/2023,49,378,290,46,49,3,0,194
05/18/2023,47,375,280,43,47,4,0,184
05/19/2023,45,368,265,38,42,5,0,168
05/20/2023,41,360,240,31,34,6,0,146
05/21/2023,38,352,220,23,26,7,0,128
05/22/2023,43,365,250,32,29,1,0,155
05/23/2023,49,380,290,47,48,2,0,192
05/24/2023,50,385,295,48,50,3,0,197
05/25/2023,48,382,285,45,48,4,0,187
05/26/2023,46,375,270,40,43,5,0,171
05/27/2023,42,368,245,33,35,6,0,149
05/28/2023,39,360,225,24,27,7,0,130
05/29/2023,44,372,255,34,30,1,1,160
05/30/2023,50,388,295,48,49,2,0,196
05/31/2023,51,392,300,49,51,3,0,201
06/01/2023,49,390,290,46,49,4,0,191
06/02/2023,47,382,275,41,44,5,0,174
06/03/2023,43,375,250,34,36,6,0,152
06/04/2023,40,368,230,25,28,7,0,134
06/05/2023,45,380,260,35,32,1,0,162
06/06/2023,51,395,300,50,51,2,0,200
06/07/2023,52,400,305,51,53,3,0,205
06/08/2023,50,398,295,48,51,4,0,195
06/09/2023,48,390,280,43,45,5,0,177
06/10/2023,44,382,255,35,37,6,0,154
06/11/2023,41,375,235,26,29,7,0,136
06/12/2023,46,388,265,37,33,1,0,166
06/13/2023,52,402,305,52,52,2,0,203
06/14/2023,53,408,310,53,54,3,0,208
06/15/2023,51,405,300,50,52,4,0,198
06/16/2023,49,398,285,45,46,5,0,180
06/17/2023,45,390,260,37,38,6,0,156
06/18/2023,42,382,240,27,30,7,0,138
06/19/2023,47,395,270,38,34,1,0,168
06/20/2023,53,410,310,53,53,2,0,205
06/21/2023,54,415,315,54,55,3,0,210
06/22/2023,52,412,305,51,53,4,0,200
06/23/2023,50,405,290,46,47,5,0,182
06/24/2023,46,398,265,38,39,6,0,159
06/25/2023,43,390,245,28,31,7,0,140
06/26/2023,48,402,275,40,35,1,0,170
06/27/2023,54,418,315,55,54,2,0,208
06/28/2023,55,422,320,56,56,3,0,213
06/29/2023,53,420,310,53,54,4,0,203
06/30/2023,51,412,295,48,48,5,0,185
07/01/2023,47,405,270,39,40,6,0,162
07/02/2023,44,398,250,29,32,7,0,144
07/03/2023,49,410,280,41,36,1,0,173
07/04/2023,55,425,322,57,55,2,1,214
07/05/2023,54,428,325,56,58,3,0,217
07/06/2023,52,425,315,53,56,4,0,207
07/07/2023,50,418,300,48,50,5,0,189
07/08/2023,46,410,275,40,41,6,0,164
07/09/2023,43,402,255,30,33,7,0,146
07/10/2023,48,415,285,42,37,1,0,176
07/11/2023,54,430,325,58,56,2,0,216
07/12/2023,55,435,330,59,58,3,0,221
07/13/2023,53,432,320,56,56,4,0,211
07/14/2023,51,425,305,51,51,5,0,192
07/15/2023,47,418,280,42,42,6,0,167
07/16/2023,44,410,260,31,34,7,0,148
07/17/2023,49,422,290,44,38,1,0,179
07/18/2023,55,438,330,60,57,2,0,219
07/19/2023,56,442,335,61,59,3,0,224
07/20/2023,54,440,325,58,57,4,0,214
07/21/2023,52,432,310,53,52,5,0,195
07/22/2023,48,425,285,44,43,6,0,170
07/23/2023,45,418,265,33,35,7,0,151
07/24/2023,50,430,295,45,39,1,0,181
07/25/2023,56,445,335,62,58,2,0,222
07/26/2023,57,450,340,63,60,3,0,227
07/27/2023,55,448,330,60,58,4,0,217
07/28/2023,53,440,315,55,53,5,0,199
07/29/2023,49,432,290,46,44,6,0,173
07/30/2023,46,425,270,35,36,7,0,154
07/31/2023,51,438,300,47,40,1,0,185
08/01/2023,57,452,340,64,59,2,0,224
08/02/2023,58,458,345,65,61,3,0,229
08/03/2023,56,455,335,62,59,4,0,219
08/04/2023,54,448,320,57,54,5,0,201
08/05/2023,50,440,295,48,45,6,0,175
08/06/2023,47,432,275,36,37,7,0,156
08/07/2023,52,445,305,48,41,1,0,187
08/08/2023,58,460,345,65,60,2,0,227
08/09/2023,59,465,350,66,62,3,0,232
08/10/2023,57,462,340,63,60,4,0,222
08/11/2023,55,455,325,58,55,5,0,203
08/12/2023,51,448,300,49,46,6,0,178
08/13/2023,48,440,280,37,38,7,0,159
08/14/2023,53,452,310,50,42,1,0,190
08/15/2023,59,468,350,67,61,2,0,230
08/16/2023,60,472,355,68,63,3,0,235
08/17/2023,58,470,345,65,61,4,0,225
08/18/2023,56,462,330,60,56,5,0,207
08/19/2023,52,455,305,50,47,6,0,181
08/20/2023,49,448,285,38,39,7,0,162
08/21/2023,54,460,315,51,43,1,0,193
08/22/2023,60,475,355,69,62,2,0,233
08/23/2023,61,480,360,70,64,3,0,238
08/24/2023,59,478,350,67,62,4,0,228
08/25/2023,57,470,335,62,57,5,0,209
08/26/2023,53,462,310,52,48,6,0,184
08/27/2023,50,455,290,39,40,7,0,165
08/28/2023,55,468,320,53,44,1,0,196
08/29/2023,61,482,360,71,63,2,0,236
08/30/2023,62,488,365,72,65,3,0,241
08/31/2023,60,485,355,69,63,4,0,231
09/01/2023,58,478,340,64,58,5,0,212
09/02/2023,54,470,315,53,49,6,0,186
09/03/2023,51,462,295,40,41,7,0,167
09/04/2023,56,475,325,54,45,1,1,199
09/05/2023,62,490,365,73,64,2,0,239
09/06/2023,63,495,370,74,66,3,0,244
09/07/2023,61,492,360,71,64,4,0,234
09/08/2023,59,485,345,65,59,5,0,215
09/09/2023,55,478,320,54,50,6,0,189
09/10/2023,52,470,300,41,42,7,0,170
09/11/2023,57,482,330,56,46,1,0,202
09/12/2023,63,498,370,75,65,2,0,242
09/13/2023,64,502,375,76,67,3,0,247
09/14/2023,62,500,365,73,65,4,0,237
09/15/2023,60,492,350,67,60,5,0,218
09/16/2023,56,485,325,56,51,6,0,192
09/17/2023,53,478,305,43,43,7,0,173
09/18/2023,58,490,335,57,47,1,0,205
09/19/2023,64,505,375,77,66,2,0,245
09/20/2023,65,510,380,78,68,3,0,250
09/21/2023,63,508,370,75,66,4,0,240
09/22/2023,61,500,355,69,61,5,0,222
09/23/2023,57,492,330,57,52,6,0,195
09/24/2023,54,485,310,44,44,7,0,176
09/25/2023,59,498,340,59,48,1,0,208
09/26/2023,65,512,380,79,67,2,0,248
09/27/2023,66,518,385,80,69,3,0,253
09/28/2023,64,515,375,77,67,4,0,243
09/29/2023,62,508,360,71,62,5,0,225
09/30/2023,58,500,335,58,53,6,0,198
10/01/2023,55,492,315,45,45,7,0,179
10/02/2023,60,505,345,60,49,1,0,211
10/03/2023,66,520,385,81,68,2,0,251
10/04/2023,67,525,390,82,70,3,0,256
10/05/2023,65,522,380,79,68,4,0,246
10/06/2023,63,515,365,73,63,5,0,228
10/07/2023,59,508,340,60,54,6,0,201
10/08/2023,56,500,320,46,46,7,0,182
10/09/2023,61,512,350,62,50,1,1,215
10/10/2023,67,528,390,83,69,2,0,255
10/11/2023,68,532,395,84,71,3,0,260
10/12/2023,66,530,385,81,69,4,0,250
10/13/2023,64,522,370,75,64,5,0,232
10/14/2023,60,515,345,62,55,6,0,205
10/15/2023,57,508,325,47,47,7,0,186
10/16/2023,62,520,355,64,51,1,0,218
10/17/2023,68,535,395,85,70,2,0,258
10/18/2023,69,540,400,86,72,3,0,263
10/19/2023,67,538,390,83,70,4,0,253
10/20/2023,65,530,375,77,65,5,0,235
10/21/2023,61,522,350,64,56,6,0,208
10/22/2023,58,515,330,48,48,7,0,189
10/23/2023,63,528,360,66,52,1,0,221
10/24/2023,69,542,400,87,71,2,0,261
10/25/2023,70,548,405,88,73,3,0,266
10/26/2023,68,545,395,85,71,4,0,256
10/27/2023,66,538,380,79,66,5,0,238
10/28/2023,62,530,355,65,57,6,0,211
10/29/2023,59,522,335,49,49,7,0,192
10/30/2023,64,535,365,68,53,1,0,224
10/31/2023,70,550,410,89,72,2,0,264
11/01/2023,71,555,415,90,74,3,0,269
11/02/2023,69,552,405,87,72,4,0,259
11/03/2023,67,545,390,81,67,5,0,241
11/04/2023,63,538,365,67,58,6,0,214
11/05/2023,60,530,345,50,50,7,0,195
11/06/2023,65,542,375,70,54,1,0,227
11/07/2023,71,558,415,91,73,2,0,267
11/08/2023,72,562,420,92,75,3,0,272
11/09/2023,70,560,410,89,73,4,0,262
11/10/2023,68,552,395,83,68,5,0,244
11/11/2023,64,545,370,68,59,6,0,217
11/12/2023,61,538,350,51,51,7,0,198
11/13/2023,66,550,380,71,55,1,0,230
11/14/2023,72,565,420,93,74,2,0,270
11/15/2023,73,570,425,94,76,3,0,275
11/16/2023,71,568,415,91,74,4,0,265
11/17/2023,69,560,400,85,69,5,0,247
11/18/2023,65,552,375,70,60,6,0,220
11/19/2023,62,545,355,52,52,7,0,201
11/20/2023,67,558,385,73,56,1,0,233
11/21/2023,73,572,425,95,75,2,0,273
11/22/2023,74,578,430,96,77,3,0,278
11/23/2023,72,575,420,93,75,4,1,268
11/24/2023,70,568,405,87,70,5,0,250
11/25/2023,66,560,380,71,61,6,0,223
11/26/2023,63,552,360,53,53,7,0,204
11/27/2023,68,565,390,75,57,1,0,236
11/28/2023,74,580,430,97,76,2,0,276
11/29/2023,75,585,435,98,78,3,0,281
11/30/2023,73,582,425,95,76,4,0,271
12/01/2023,71,575,410,89,71,5,0,253
12/02/2023,67,568,385,73,62,6,0,226
12/03/2023,64,560,365,54,54,7,0,207
12/04/2023,69,572,395,77,58,1,0,239
12/05/2023,75,588,435,99,77,2,0,279
12/06/2023,76,592,440,100,79,3,0,284
12/07/2023,74,590,430,97,77,4,0,274
12/08/2023,72,582,415,91,72,5,0,256
12/09/2023,68,575,390,75,63,6,0,229
12/10/2023,65,568,370,56,55,7,0,210
12/11/2023,70,580,400,79,59,1,0,242
12/12/2023,76,595,440,101,78,2,0,282
12/13/2023,77,600,445,102,80,3,0,287
12/14/2023,75,598,435,99,78,4,0,277
12/15/2023,73,590,420,93,73,5,0,259
12/16/2023,69,582,395,76,64,6,0,232
12/17/2023,66,575,375,57,56,7,0,213
12/18/2023,71,588,405,81,60,1,0,245
12/19/2023,77,602,445,103,79,2,0,285
12/20/2023,78,608,450,104,81,3,0,290
12/21/2023,76,605,440,101,79,4,0,280
12/22/2023,74,598,425,95,74,5,0,262
12/23/2023,70,590,400,78,65,6,0,235
12/24/2023,67,582,380,58,57,7,1,216
12/25/2023,72,595,410,82,61,1,1,248
12/26/2023,78,610,450,105,80,2,0,288
12/27/2023,79,615,455,106,82,3,0,293
12/28/2023,77,612,445,103,80,4,0,283
12/29/2023,75,605,430,97,75,5,0,265
12/30/2023,71,598,405,79,66,6,0,238
12/31/2023,68,590,385,59,58,7,0,219
